,Open,neg,neu,pos,compound,label
0,3.278571,0.032,0.905,0.063,0.7707,0
1,3.281429,0.011,0.904,0.085,0.872,0
2,3.237143,0.029,0.878,0.093,0.6858,0
3,3.215357,0.091,0.869,0.04,-0.6712,0
4,3.115357,0.084,0.848,0.069,-0.1796,1
5,3.175,0.105,0.852,0.042,-0.8743,0
6,3.141071,0.018,0.9,0.082,0.936,1
7,3.180357,0.026,0.88,0.094,0.962,0
8,3.179286,0.051,0.905,0.044,-0.5228,0
9,3.129643,0.03,0.887,0.082,0.7059,0
10,3.026071,0.132,0.78,0.088,-0.6705,1
11,3.088214,0.131,0.781,0.088,-0.802,0
12,2.980714,0.011,0.942,0.047,0.7269,0
13,2.933928,0.07,0.885,0.045,-0.7685,0
14,2.791071,0.054,0.845,0.101,0.9488,1
15,2.865,0.076,0.814,0.11,0.8636,1
16,2.998214,0.07,0.802,0.128,0.8914,1
17,3.081786,0.082,0.851,0.067,-0.3881,0
18,3.001786,0.066,0.844,0.09,0.8456,1
19,3.063214,0,0.922,0.078,0.9698,0
20,3.07,0.072,0.826,0.102,0.8798,0
21,3.0875,0.102,0.853,0.045,-0.946,1
22,3.383929,0.072,0.893,0.035,-0.8465,1
23,3.426429,0.056,0.878,0.066,0.6509,0
24,3.378214,0.028,0.865,0.107,0.968,1
25,3.417143,0.074,0.869,0.058,-0.8212,1
26,3.484286,0.073,0.83,0.097,0.7482,0
27,3.289286,0.059,0.822,0.119,0.9592,0
28,3.165357,0.022,0.828,0.149,0.9864,0
29,3.183571,0.034,0.85,0.116,0.9829,0
30,3.061786,0.033,0.917,0.05,0.7184,0
31,3.095714,0.063,0.887,0.05,-0.2592,1
32,3.111071,0,0.89,0.11,0.9268,0
33,3.111071,0,0.932,0.068,0.6187,0
34,3.082143,0.107,0.787,0.107,0,0
35,3.086786,0.069,0.804,0.127,0.9473,0
36,3.030714,0.028,0.931,0.04,0.25,1
37,3.079643,0.022,0.905,0.073,0.9152,0
38,3.004286,0.083,0.846,0.071,-0.4235,1
39,3.010714,0.068,0.84,0.092,0.8481,0
40,3.017143,0.03,0.941,0.029,-0.2681,1
41,3.051071,0.016,0.819,0.165,0.9928,1
42,3.067143,0.027,0.875,0.099,0.9634,0
43,3.015357,0.151,0.79,0.059,-0.9729,1
44,3.0225,0.041,0.861,0.098,0.9158,1
45,3.051429,0.04,0.894,0.065,0.6369,0
46,3.044643,0.055,0.874,0.071,0.4754,0
47,3.023214,0.009,0.883,0.108,0.9789,1
48,3.070714,0.07,0.895,0.035,-0.8625,1
49,3.242857,0.08,0.821,0.099,0.8402,0
50,3.184286,0.044,0.824,0.132,0.9806,0
51,3.208571,0,0.852,0.148,0.9869,0
52,3.082143,0.013,0.862,0.125,0.9581,0
53,3.001071,0.105,0.884,0.011,-0.9539,1
54,3.098929,0.065,0.911,0.024,-0.93,0
55,3.0675,0.039,0.913,0.048,0.3071,1
56,3.135714,0,0.79,0.21,0.9944,1
57,3.163929,0.02,0.948,0.032,0.4398,0
58,3.171429,0.018,0.889,0.093,0.9501,0
59,3.145357,0.166,0.743,0.091,-0.9724,1
60,3.193214,0.095,0.806,0.099,0.5135,0
61,3.164286,0.038,0.852,0.11,0.9553,1
62,3.212857,0.027,0.926,0.046,0.5713,0
63,3.197857,0.055,0.886,0.06,0.1882,1
64,3.222857,0.089,0.834,0.077,-0.743,1
65,3.2625,0.048,0.872,0.08,0.738,1
66,3.285357,0.016,0.959,0.025,0.4762,1
67,3.3475,0.022,0.978,0,-0.6633,1
68,3.333929,0.035,0.892,0.073,0.9151,1
69,3.356786,0.059,0.789,0.151,0.6808,1
70,3.418214,0.056,0.893,0.051,-0.3939,0
71,3.363929,0.018,0.838,0.145,0.875,0
72,3.367143,0,0.974,0.026,0.2382,0
73,3.362143,0.057,0.865,0.078,0.7677,0
74,3.390714,0.052,0.845,0.103,0.949,0
75,3.400357,0.014,0.909,0.076,0.945,0
76,3.345357,0.047,0.834,0.119,0.969,1
77,3.353571,0.048,0.831,0.12,0.9799,0
78,3.287143,0.071,0.87,0.059,-0.4569,1
79,3.246428,0.062,0.871,0.067,0.204,0
80,3.234643,0.036,0.89,0.074,0.4588,1
81,3.285714,0.015,0.826,0.159,0.959,0
82,3.22,0.027,0.815,0.157,0.9814,1
83,3.221071,0.045,0.847,0.108,0.9472,1
84,3.246071,0.039,0.859,0.103,0.8895,1
85,3.271071,0.036,0.879,0.085,0.936,1
86,3.355714,0.094,0.821,0.085,-0.7127,0
87,3.365357,0.115,0.818,0.067,-0.9543,1
88,3.627857,0.045,0.878,0.077,0.8668,0
89,3.506428,0.058,0.852,0.09,0.8689,1
90,3.574643,0,1,0,0,0
91,3.556786,0.149,0.711,0.14,0.1212,0
92,3.558928,0.21,0.719,0.071,-0.9913,1
93,3.5975,0.039,0.848,0.113,0.9432,0
94,3.6,0,0.833,0.167,0.9509,1
95,3.61,0.061,0.84,0.098,0.791,1
96,3.695357,0.068,0.781,0.15,0.9768,1
97,3.746786,0.044,0.899,0.058,0.3687,1
98,3.808214,0.031,0.897,0.072,0.9444,1
99,3.847857,0.049,0.879,0.072,0.8544,1
100,3.915,0.037,0.825,0.138,0.9413,0
101,3.913214,0.058,0.85,0.092,0.8176,0
102,3.876071,0.041,0.776,0.183,0.9949,0
103,3.826786,0.005,0.84,0.155,0.9928,1
104,3.936786,0.01,0.886,0.105,0.9834,0
105,3.939643,0.049,0.881,0.07,0.6926,1
106,4.0175,0.041,0.917,0.042,-0.2263,1
107,4.072143,0.048,0.873,0.079,0.8591,0
108,4.028929,0.045,0.846,0.108,0.9042,0
109,4,0.072,0.809,0.119,0.9269,1
110,4.0875,0.135,0.822,0.043,-0.7096,0
111,4.082143,0.009,0.938,0.053,0.8658,1
112,4.288214,0.037,0.952,0.011,-0.4404,1
113,4.236786,0.039,0.86,0.101,0.9526,1
114,4.336071,0.007,0.917,0.075,0.9674,1
115,4.367857,0.029,0.897,0.074,0.944,1
116,4.463929,0.013,0.898,0.089,0.97,0
117,4.493571,0.035,0.833,0.132,0.9912,0
118,4.2625,0.074,0.781,0.145,0.9715,1
119,4.326786,0.078,0.824,0.098,0.7015,0
120,4.185714,0.012,0.909,0.079,0.9716,1
121,4.307857,0.03,0.902,0.068,0.8126,0
122,4.402857,0.136,0.794,0.07,-0.9643,1
123,4.453214,0.067,0.838,0.095,0.6416,0
124,4.346428,0.008,0.908,0.083,0.9666,1
125,4.423214,0.013,0.908,0.079,0.9488,0
126,4.435357,0.069,0.859,0.072,-0.3182,0
127,4.427857,0.023,0.862,0.114,0.9704,0
128,4.3075,0.029,0.88,0.09,0.9462,1
129,4.356071,0.015,0.885,0.101,0.9429,1
130,4.323214,0.052,0.873,0.074,0.8173,1
131,4.357143,0.042,0.893,0.064,0.6289,1
132,4.6,0.047,0.861,0.092,0.9101,1
133,4.754643,0.069,0.775,0.156,0.9781,0
134,4.727857,0.025,0.903,0.072,0.5653,0
135,4.602857,0.098,0.786,0.115,0.8545,1
136,4.716786,0.127,0.816,0.058,-0.9719,1
137,4.780357,0.071,0.853,0.077,0.3483,1
138,4.8225,0.07,0.877,0.053,-0.4497,1
139,4.9425,0.137,0.699,0.164,0.6739,0
140,4.939286,0.069,0.804,0.127,0.9605,1
141,4.935357,0.036,0.775,0.19,0.9921,0
142,5.010714,0.068,0.833,0.099,0.8377,0
143,5.058928,0.07,0.8,0.13,0.9712,1
144,5.118214,0.014,0.894,0.092,0.9792,1
145,4.96,0.072,0.784,0.144,0.9642,0
146,5.211071,0.063,0.744,0.193,0.9899,1
147,5.221071,0.082,0.727,0.191,0.9844,0
148,5.154643,0.157,0.791,0.053,-0.7804,0
149,5.106071,0,0.931,0.069,0.5023,0
150,4.772857,0.013,0.907,0.079,0.9683,1
151,4.880357,0.036,0.936,0.028,-0.4005,0
152,4.830714,0.049,0.909,0.042,-0.0772,0
153,4.746428,0.069,0.835,0.095,0.5994,1
154,4.884286,0.036,0.811,0.152,0.9835,0
155,4.6825,0.018,0.856,0.126,0.9779,0
156,4.397143,0.039,0.855,0.107,0.9585,1
157,4.582857,0.06,0.839,0.101,0.9397,0
158,4.581786,0.033,0.873,0.095,0.9325,0
159,4.383572,0.029,0.899,0.072,0.9182,0
160,4.178928,0.03,0.902,0.068,0.7832,1
161,4.3575,0.04,0.848,0.112,0.923,1
162,4.427143,0.148,0.72,0.132,-0.2263,0
163,4.364643,0.181,0.74,0.079,-0.9874,1
164,4.686429,0.135,0.807,0.059,-0.9702,1
165,4.753214,0.036,0.852,0.112,0.9729,0
166,4.661786,0.037,0.888,0.075,0.8658,1
167,4.763928,0.046,0.832,0.122,0.9465,0
168,4.678214,0.129,0.835,0.037,-0.6486,0
169,4.738214,0.026,0.87,0.104,0.955,1
170,4.981786,0.096,0.827,0.078,-0.7603,0
171,4.997857,0.063,0.873,0.064,-0.1747,1
172,5.1775,0.065,0.855,0.08,0.2626,0
173,4.841429,0.092,0.782,0.126,0.9037,0
174,4.714643,0.119,0.779,0.103,-0.7065,0
175,4.8925,0.034,0.842,0.124,0.9843,0
176,4.925,0.045,0.877,0.078,0.6587,0
177,4.856786,0.033,0.831,0.136,0.9778,1
178,4.958214,0.029,0.932,0.039,0.18,0
179,4.8775,0.097,0.845,0.059,-0.934,1
180,4.963929,0.039,0.86,0.101,0.9368,0
181,4.966429,0.074,0.783,0.143,0.9731,1
182,5.107857,0.043,0.767,0.19,0.9946,0
183,5.005357,0.07,0.767,0.163,0.9889,1
184,5.040714,0.086,0.885,0.029,-0.9483,1
185,5.240357,0.063,0.818,0.119,0.9793,1
186,5.244286,0.059,0.831,0.11,0.9215,1
187,5.516786,0.027,0.822,0.151,0.969,0
188,5.491786,0.106,0.756,0.138,0.6553,1
189,5.48,0,0.848,0.152,0.8779,1
190,5.5225,0.057,0.818,0.125,0.9641,1
191,5.591072,0.091,0.865,0.044,-0.9376,1
192,5.635,0.069,0.828,0.102,0.896,1
193,5.642857,0.037,0.873,0.09,0.9462,0
194,5.656072,0.079,0.834,0.087,0.1431,1
195,5.838929,0.018,0.884,0.097,0.8798,1
196,6.078571,0.072,0.812,0.116,0.3919,0
197,6.053214,0.029,0.841,0.13,0.9382,0
198,5.821786,0.034,0.792,0.174,0.9889,1
199,5.999286,0.013,0.925,0.062,0.5631,0
200,5.912143,0.061,0.895,0.044,-0.3103,1
201,6.1675,0.017,0.921,0.062,0.9445,1
202,6.125,0.024,0.852,0.125,0.9822,1
203,6.222857,0.064,0.862,0.075,0.1542,0
204,6.734286,0.072,0.775,0.152,0.9661,0
205,6.636071,0.074,0.847,0.078,0.2922,1
206,6.6025,0.018,0.942,0.041,0.6956,0
207,6.6175,0.079,0.87,0.052,-0.4019,0
208,6.623214,0.126,0.698,0.176,0.8152,0
209,6.649286,0,0.725,0.275,0.9901,1
210,6.701071,0,0.931,0.069,0.886,1
211,6.735714,0.025,0.889,0.086,0.897,0
212,6.7575,0.044,0.88,0.077,0.4939,0
213,6.6175,0.019,0.881,0.1,0.9674,1
214,6.680357,0.046,0.858,0.096,0.8805,1
215,6.8075,0.039,0.822,0.14,0.9738,0
216,6.666786,0.071,0.727,0.201,0.9902,0
217,6.1125,0.078,0.837,0.085,0.4151,0
218,5.902857,0.028,0.867,0.105,0.9664,0
219,5.744643,0.013,0.877,0.11,0.9802,1
220,6.327143,0.025,0.859,0.117,0.9716,0
221,5.9425,0.017,0.897,0.086,0.9437,0
222,5.903572,0.031,0.905,0.064,0.862,1
223,5.932143,0.042,0.794,0.164,0.983,0
224,5.916786,0.037,0.845,0.118,0.9781,1
225,5.922857,0.01,0.903,0.087,0.9674,1
226,6.142857,0.095,0.888,0.017,-0.872,0
227,6.199643,0.104,0.769,0.127,0.8418,0
228,6.257857,0.059,0.751,0.19,0.9849,0
229,6.315,0.04,0.758,0.202,0.9796,1
230,6.408214,0.033,0.842,0.125,0.9442,1
231,6.690714,0.047,0.932,0.021,-0.5927,0
232,6.495,0.07,0.838,0.093,0.7839,0
233,6.326786,0.032,0.919,0.05,0.6705,1
234,6.531785,0.027,0.881,0.092,0.9397,1
235,6.649643,0.102,0.772,0.126,0.5859,1
236,6.913929,0.204,0.713,0.083,-0.9876,1
237,6.955357,0.027,0.898,0.075,0.918,0
238,6.908571,0.037,0.847,0.116,0.9729,0
239,6.798929,0.055,0.919,0.025,-0.6386,1
240,6.811429,0.096,0.813,0.091,-0.4019,0
241,6.661428,0.03,0.827,0.143,0.9819,0
242,6.535,0.036,0.895,0.069,0.7941,1
243,6.6225,0.087,0.901,0.012,-0.9341,1
244,6.79,0.102,0.853,0.045,-0.8693,1
245,7.1075,0.064,0.776,0.16,0.9808,0
246,7.105357,0.06,0.808,0.132,0.9678,0
247,7.163929,0.031,0.875,0.094,0.9201,0
248,7.125,0.039,0.932,0.029,-0.4391,0
249,6.978929,0.025,0.856,0.119,0.9735,0
250,6.8375,0.073,0.883,0.045,-0.8645,0
251,6.473214,0.017,0.922,0.061,0.8277,0
252,6.433571,0.007,0.946,0.047,0.6508,0
253,6.117857,0.028,0.936,0.036,0.5661,1
254,6.342143,0.025,0.914,0.062,0.8922,1
255,6.285714,0.015,0.919,0.066,0.7506,0
256,6.347143,0.014,0.893,0.093,0.9738,0
257,5.901072,0.023,0.901,0.076,0.9399,0
258,5.768214,0.033,0.899,0.068,0.8458,0
259,5.775357,0.036,0.881,0.083,0.7359,0
260,5.287857,0.139,0.701,0.16,0.8101,1
261,4.863929,0.112,0.783,0.105,-0.2731,1
262,4.999643,0.073,0.785,0.143,0.9536,0
263,4.963929,0.053,0.729,0.218,0.9451,0
264,4.577143,0.033,0.89,0.077,0.765,1
265,4.683928,0,0.909,0.091,0.5719,1
266,4.691786,0.129,0.629,0.243,0.6124,1
267,4.865714,0.045,0.895,0.059,0.5106,0
268,4.793214,0.045,0.883,0.072,0.2047,0
269,4.658214,0.046,0.879,0.075,0.7469,0
270,4.6725,0.074,0.776,0.15,0.9354,0
271,4.284643,0.034,0.878,0.088,0.9078,1
272,4.36,0.065,0.803,0.133,0.9151,1
273,4.667857,0.05,0.82,0.13,0.9867,0
274,4.524286,0.051,0.83,0.119,0.969,1
275,4.621428,0.041,0.849,0.11,0.9118,0
276,4.509643,0.051,0.881,0.067,0.3182,0
277,4.499643,0.037,0.89,0.072,0.8592,0
278,4.364286,0.159,0.786,0.055,-0.9818,1
279,4.501786,0.145,0.784,0.071,-0.9688,0
280,4.374286,0.039,0.904,0.057,0.3716,0
281,4.235357,0.072,0.898,0.029,-0.4404,1
282,4.201428,0.039,0.776,0.185,0.9798,1
283,4.2225,0.055,0.812,0.133,0.9868,1
284,4.542857,0.075,0.787,0.138,0.9552,1
285,4.6175,0.068,0.739,0.193,0.9337,0
286,4.444286,0.065,0.868,0.068,0.1538,0
287,4.356786,0.055,0.82,0.125,0.959,1
288,4.413571,0.07,0.796,0.133,0.9544,1
289,4.450357,0.031,0.833,0.136,0.9888,0
290,4.300357,0.034,0.819,0.147,0.9758,1
291,4.432143,0.063,0.878,0.059,-0.2732,1
292,4.537143,0.069,0.855,0.076,0.3071,0
293,4.432143,0.04,0.941,0.019,-0.5789,1
294,4.376786,0.034,0.899,0.067,0.8705,1
295,4.613572,0.042,0.9,0.057,0.3071,1
296,4.754286,0.03,0.866,0.104,0.9782,0
297,4.682857,0.017,0.89,0.093,0.9438,1
298,4.786071,0.012,0.921,0.068,0.8713,1
299,4.998571,0.034,0.874,0.092,0.891,1
300,5.031072,0.045,0.855,0.1,0.9273,1
301,5.064286,0.076,0.924,0,-0.6369,1
302,5.116786,0.038,0.86,0.102,0.5494,1
303,5.225,0.031,0.873,0.096,0.9275,1
304,5.313571,0.023,0.876,0.101,0.9726,0
305,5.252143,0.023,0.883,0.094,0.9731,1
306,5.435357,0.018,0.917,0.065,0.8674,1
307,5.576071,0.078,0.83,0.092,0.8341,0
308,5.483929,0.066,0.83,0.104,0.8126,0
309,5.475357,0.065,0.85,0.085,0.5267,0
310,5.3975,0.038,0.902,0.059,0.4588,1
311,5.454286,0.021,0.891,0.088,0.7351,0
312,5.241786,0.026,0.89,0.084,0.9531,1
313,5.335714,0.034,0.834,0.132,0.9875,0
314,5.418571,0.004,0.843,0.152,0.9922,1
315,5.506072,0.044,0.853,0.103,0.9422,1
316,5.682857,0.033,0.812,0.155,0.9509,1
317,5.793214,0.056,0.882,0.062,0.2732,1
318,5.978571,0.039,0.887,0.074,0.8687,0
319,5.858929,0.079,0.798,0.123,0.9172,0
320,5.905,0.097,0.745,0.158,0.9579,1
321,6.096428,0.133,0.824,0.043,-0.969,0
322,6.0625,0.048,0.829,0.123,0.8131,1
323,6.2925,0.035,0.926,0.039,0.5719,0
324,6.248571,0.013,0.952,0.036,0.8299,1
325,6.435357,0.029,0.882,0.09,0.8767,1
326,6.497143,0.024,0.918,0.058,0.8677,1
327,6.595,0.036,0.929,0.035,-0.0258,1
328,6.644643,0.051,0.863,0.086,0.8898,0
329,6.563214,0.054,0.838,0.108,0.9506,1
330,6.541429,0.056,0.908,0.036,-0.453,1
331,6.614643,0,0.932,0.068,0.9382,1
332,6.736072,0.055,0.899,0.046,-0.2732,1
333,6.829643,0.082,0.814,0.104,0.5067,0
334,6.671786,0.029,0.875,0.096,0.9092,1
335,6.789643,0.031,0.876,0.093,0.8316,0
336,6.709286,0.091,0.826,0.083,-0.7209,0
337,6.493571,0.037,0.907,0.056,0.6486,1
338,6.402143,0.039,0.874,0.088,0.8876,0
339,6.456071,0.023,0.894,0.083,0.9349,1
340,6.526786,0.052,0.846,0.101,0.9393,1
341,6.693214,0.033,0.825,0.142,0.9274,0
342,6.694643,0.176,0.75,0.073,-0.6501,1
343,6.735714,0.019,0.859,0.122,0.9367,0
344,6.673572,0.022,0.931,0.047,0.34,0
345,6.572143,0.027,0.891,0.082,0.891,1
346,6.655,0,0.937,0.063,0.6908,1
347,6.714286,0.052,0.872,0.076,0.6668,0
348,6.446786,0.026,0.863,0.111,0.9678,1
349,6.583571,0.005,0.951,0.044,0.8276,0
350,6.481786,0.015,0.921,0.065,0.9319,0
351,6.13,0.01,0.927,0.063,0.9169,1
352,6.117857,0.077,0.777,0.146,0.8602,1
353,6.360714,0.071,0.863,0.065,-0.504,1
354,6.468572,0.102,0.838,0.06,-0.9516,0
355,6.376786,0.052,0.891,0.057,-0.0858,1
356,6.405357,0.099,0.823,0.078,-0.7845,0
357,6.240714,0.152,0.784,0.065,-0.9269,0
358,6.156072,0.052,0.835,0.113,0.8385,1
359,6.236072,0.02,0.867,0.113,0.9689,1
360,6.216786,0.01,0.86,0.13,0.9728,0
361,6.078214,0.037,0.894,0.069,0.5106,0
362,5.865357,0.048,0.891,0.062,0.4588,1
363,6.257143,0.025,0.842,0.133,0.9794,0
364,6.056786,0.036,0.874,0.089,0.873,1
365,6.184286,0.049,0.858,0.093,0.8442,1
366,6.435714,0.057,0.863,0.08,0.8109,0
367,6.247143,0.026,0.91,0.064,0.9196,1
368,6.266786,0.081,0.792,0.128,0.9477,0
369,6.401429,0.005,0.932,0.063,0.9501,0
370,6.16,0.015,0.866,0.118,0.9686,0
371,6.078571,0.026,0.924,0.051,0.8636,1
372,6.217857,0.017,0.909,0.074,0.9493,0
373,6.018571,0.025,0.763,0.213,0.9832,0
374,5.960714,0.023,0.855,0.122,0.9853,0
375,5.321429,0.072,0.833,0.095,0.6995,1
376,5.8925,0.085,0.816,0.098,0.7865,1
377,5.868571,0.113,0.802,0.085,-0.7606,0
378,5.728571,0.064,0.821,0.115,0.9441,1
379,5.797857,0.127,0.782,0.091,-0.8085,0
380,5.550357,0.191,0.644,0.165,-0.5565,1
381,5.635,0.153,0.777,0.07,-0.4939,1
382,5.626429,0.015,0.916,0.069,0.504,1
383,5.592857,0,0.858,0.142,0.8947,0
384,5.550714,0.059,0.809,0.132,0.8705,1
385,5.713214,0.042,0.849,0.109,0.9083,1
386,5.811071,0,0.881,0.119,0.7622,1
387,5.852143,0.363,0.637,0,-0.9136,1
388,6.073928,0.074,0.795,0.13,0.8948,1
389,6.197143,0.121,0.76,0.119,0.1531,1
390,6.368928,0.022,0.931,0.047,0.7717,1
391,6.394286,0.023,0.952,0.025,0.1027,0
392,6.270357,0,0.945,0.055,0.5994,0
393,6.233572,0.104,0.847,0.05,-0.8481,0
394,6.241786,0.066,0.848,0.086,0.778,1
395,6.231071,0.082,0.841,0.077,0.1615,0
396,6.279286,0.076,0.793,0.13,0.9614,1
397,6.291071,0.017,0.882,0.101,0.912,0
398,6.189643,0.026,0.818,0.156,0.9915,1
399,6.26,0.035,0.749,0.215,0.991,0
400,6.177143,0.112,0.814,0.074,-0.5549,0
401,6.157143,0.03,0.847,0.123,0.9873,0
402,5.958571,0.028,0.896,0.076,0.9563,1
403,5.923572,0.038,0.805,0.157,0.9921,0
404,5.663929,0.03,0.911,0.059,0.7425,1
405,5.8775,0.107,0.861,0.032,-0.9337,0
406,5.602143,0.056,0.845,0.099,0.9061,0
407,5.44,0.063,0.851,0.086,0.7783,0
408,5.292143,0,0.933,0.067,0.9313,1
409,5.389643,0,0.941,0.059,0.8313,0
410,5.0725,0.05,0.901,0.049,-0.3182,0
411,4.780715,0.084,0.847,0.069,-0.7717,1
412,4.946072,0.081,0.813,0.106,0.8979,0
413,4.663214,0.049,0.848,0.103,0.9486,1
414,5.092857,0.072,0.884,0.044,-0.7089,0
415,4.997857,0.097,0.849,0.054,-0.8693,0
416,4.545357,0.03,0.802,0.168,0.9867,1
417,4.635714,0.07,0.815,0.115,0.9133,1
418,4.461071,0.105,0.777,0.117,0.5106,1
419,4.272143,0,1,0,0,0
420,3.866071,0.051,0.871,0.078,0.34,1
421,3.997143,0.064,0.852,0.084,0.6907,0
422,3.8575,0.096,0.856,0.048,-0.9289,0
423,3.714286,0.04,0.907,0.053,0.6767,0
424,3.284286,0.065,0.851,0.084,0.7175,1
425,3.068214,0.074,0.847,0.078,-0.1842,1
426,3.333929,0.046,0.932,0.022,-0.6322,0
427,3.060714,0.018,0.854,0.128,0.9839,1
428,4.152143,0.018,0.823,0.159,0.9909,0
429,3.708571,0.019,0.881,0.099,0.9659,0
430,3.563214,0.065,0.889,0.046,-0.3612,1
431,3.557143,0.043,0.957,0,-0.3818,0
432,3.4625,0.05,0.83,0.12,0.9646,0
433,3.4775,0.018,0.936,0.047,0.7194,0
434,3.446786,0.059,0.891,0.05,-0.5767,1
435,3.226071,0.096,0.812,0.092,0.153,1
436,3.395357,0.023,0.919,0.057,0.765,0
437,3.408214,0,0.841,0.159,0.8442,1
438,3.865357,0.02,0.886,0.094,0.95,1
439,3.835714,0.091,0.867,0.042,-0.8588,1
440,3.928214,0.055,0.871,0.073,0.7269,1
441,3.889643,0.071,0.851,0.078,0.3818,0
442,3.608929,0.055,0.803,0.143,0.984,0
443,3.544286,0.067,0.839,0.094,0.8981,0
444,3.5775,0.131,0.817,0.052,-0.947,0
445,3.386071,0.013,0.897,0.089,0.9018,0
446,3.301071,0,0.924,0.076,0.9001,0
447,3.209643,0.046,0.873,0.081,0.8779,1
448,3.348572,0.041,0.896,0.063,0.8541,0
449,3.16,0.061,0.855,0.084,0.8095,0
450,3.201429,0.019,0.86,0.121,0.9646,1
451,3.194286,0.031,0.81,0.159,0.9822,0
452,3.044286,0.028,0.879,0.093,0.9526,0
453,2.926071,0.038,0.893,0.068,0.875,1
454,3.043214,0.051,0.859,0.09,0.5719,1
455,3.379643,0.026,0.852,0.121,0.9796,0
456,3.211429,0.041,0.843,0.116,0.9668,1
457,3.382143,0.028,0.773,0.199,0.989,0
458,3.260714,0.046,0.818,0.137,0.9839,0
459,3.215357,0.103,0.765,0.132,0.8132,1
460,3.3725,0.026,0.858,0.116,0.962,0
461,3.226786,0.086,0.805,0.108,0.4497,1
462,3.474286,0.069,0.864,0.067,-0.1196,1
463,3.501429,0.058,0.835,0.107,0.9462,1
464,3.495357,0.07,0.797,0.132,0.9757,1
465,3.476786,0.036,0.863,0.101,0.9439,0
466,3.314286,0.045,0.875,0.08,0.8126,1
467,3.356429,0.025,0.886,0.089,0.91,1
468,3.251071,0.009,0.843,0.148,0.9845,0
469,3.189643,0.045,0.835,0.119,0.9585,1
470,3.212143,0.101,0.839,0.06,-0.8109,1
471,3.215,0.04,0.85,0.11,0.9129,0
472,3.1025,0.043,0.818,0.139,0.9843,0
473,3.076429,0.023,0.793,0.184,0.9942,0
474,3.09,0.05,0.918,0.032,-0.6523,1
475,3.070357,0.076,0.811,0.113,0.7512,0
476,3.067143,0.112,0.782,0.106,-0.4541,1
